year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-446 Aurora,[Write-in],in,US House,0,TRUE,,Election Day,4,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-446 Aurora,"Lindbeck, Steve",lindbeck,US House,0,FALSE,democratic,Election Day,334,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-446 Aurora,"McDermott, Jim C.",mcdermott,US House,0,FALSE,libertarian,Election Day,109,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-446 Aurora,"Souphanavong, Bernie",souphanavong,US House,0,FALSE,new alliance,Election Day,20,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-446 Aurora,"Young, Don",young,US House,0,FALSE,republican,Election Day,389,N00007999,Q1239590,Republican,Young,Don,E.,Don Young,,,H6AK00045,,kg:/m/024p1k,400440,14066,525
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-455 Fairbanks No. 1,[Write-in],in,US House,0,TRUE,,Election Day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-455 Fairbanks No. 1,"Lindbeck, Steve",lindbeck,US House,0,FALSE,democratic,Election Day,62,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-455 Fairbanks No. 1,"McDermott, Jim C.",mcdermott,US House,0,FALSE,libertarian,Election Day,23,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-455 Fairbanks No. 1,"Souphanavong, Bernie",souphanavong,US House,0,FALSE,new alliance,Election Day,4,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-455 Fairbanks No. 1,"Young, Don",young,US House,0,FALSE,republican,Election Day,106,N00007999,Q1239590,Republican,Young,Don,E.,Don Young,,,H6AK00045,,kg:/m/024p1k,400440,14066,525
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-465 Fairbanks No. 2,[Write-in],in,US House,0,TRUE,,Election Day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Alaska,AK,2,81,,,,,,District 1,01-465 Fairbanks No. 2,"Lindbeck, Steve",lindbeck,US House,0,FALSE,democratic,Election Day,120,,,,,,,,,,,,,,,
