year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Fawn Hollow School,Jim Himes,himes,US House,4,FALSE,democratic,total,1700,N00029070,Q1689111,Democrat,Himes,James,A.,James A. Himes,,,H8CT04172,,kg:/m/03w9x9v,412282,20907,764
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Fawn Hollow School,John Shaban,shaban,US House,4,FALSE,independent,total,75,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Fawn Hollow School,John Shaban,shaban,US House,4,FALSE,republican,total,1751,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Fawn Hollow School,Carl E. Vassar,vassar,US House,4,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Masuk High School,Jim Himes,himes,US House,4,FALSE,democratic,total,1503,N00029070,Q1689111,Democrat,Himes,James,A.,James A. Himes,,,H8CT04172,,kg:/m/03w9x9v,412282,20907,764
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Masuk High School,John Shaban,shaban,US House,4,FALSE,independent,total,77,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Masuk High School,John Shaban,shaban,US House,4,FALSE,republican,total,1880,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Masuk High School,Carl E. Vassar,vassar,US House,4,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Monroe Elementary School,Jim Himes,himes,US House,4,FALSE,democratic,total,845,N00029070,Q1689111,Democrat,Himes,James,A.,James A. Himes,,,H8CT04172,,kg:/m/03w9x9v,412282,20907,764
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Monroe Elementary School,John Shaban,shaban,US House,4,FALSE,independent,total,49,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Monroe Elementary School,John Shaban,shaban,US House,4,FALSE,republican,total,963,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Monroe Elementary School,Carl E. Vassar,vassar,US House,4,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Stepney Elementary School,Jim Himes,himes,US House,4,FALSE,democratic,total,789,N00029070,Q1689111,Democrat,Himes,James,A.,James A. Himes,,,H8CT04172,,kg:/m/03w9x9v,412282,20907,764
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Stepney Elementary School,John Shaban,shaban,US House,4,FALSE,independent,total,33,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Stepney Elementary School,John Shaban,shaban,US House,4,FALSE,republican,total,761,,,,,,,,,,H4CT04114,"SHABAN, JOHN T",,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Monroe,Stepney Elementary School,Carl E. Vassar,vassar,US House,4,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Connecticut,CT,9,1,Fairfield County,09001,00212794,41.227413,-73.367061,Stamford,Agudath Sholom,Jim Himes,himes,US House,4,FALSE,democratic,total,2288,N00029070,Q1689111,Democrat,Himes,James,A.,James A. Himes,,,H8CT04172,,kg:/m/03w9x9v,412282,20907,764
