year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,1,"Kenneth """"Ken"""" McGurn",mcgurn,US House,3,FALSE,democratic,total,369,,,,,,,,,,H6FL03081,"MCGURN, KENNETH RANDOL",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,1,Tom Wells,wells,US House,3,FALSE,none,total,34,,,,,,,,,,H6FL03073,"WELLS, THOMAS BECKWITH",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,1,Ted Yoho,yoho,US House,3,FALSE,republican,total,612,N00033220,Q3090476,Republican,Yoho,Ted,S.,Ted S. Yoho,,,H2FL06109,,kg:/m/0l8lwvh,412525,21317,1749
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,2,"Kenneth """"Ken"""" McGurn",mcgurn,US House,3,FALSE,democratic,total,643,,,,,,,,,,H6FL03081,"MCGURN, KENNETH RANDOL",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,2,Tom Wells,wells,US House,3,FALSE,none,total,29,,,,,,,,,,H6FL03073,"WELLS, THOMAS BECKWITH",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,2,Ted Yoho,yoho,US House,3,FALSE,republican,total,877,N00033220,Q3090476,Republican,Yoho,Ted,S.,Ted S. Yoho,,,H2FL06109,,kg:/m/0l8lwvh,412525,21317,1749
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,3,"Kenneth """"Ken"""" McGurn",mcgurn,US House,3,FALSE,democratic,total,1092,,,,,,,,,,H6FL03081,"MCGURN, KENNETH RANDOL",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,3,Tom Wells,wells,US House,3,FALSE,none,total,81,,,,,,,,,,H6FL03073,"WELLS, THOMAS BECKWITH",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,3,Ted Yoho,yoho,US House,3,FALSE,republican,total,1755,N00033220,Q3090476,Republican,Yoho,Ted,S.,Ted S. Yoho,,,H2FL06109,,kg:/m/0l8lwvh,412525,21317,1749
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,4,"Kenneth """"Ken"""" McGurn",mcgurn,US House,3,FALSE,democratic,total,604,,,,,,,,,,H6FL03081,"MCGURN, KENNETH RANDOL",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,4,Tom Wells,wells,US House,3,FALSE,none,total,61,,,,,,,,,,H6FL03073,"WELLS, THOMAS BECKWITH",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,4,Ted Yoho,yoho,US House,3,FALSE,republican,total,1586,N00033220,Q3090476,Republican,Yoho,Ted,S.,Ted S. Yoho,,,H2FL06109,,kg:/m/0l8lwvh,412525,21317,1749
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,5,"Kenneth """"Ken"""" McGurn",mcgurn,US House,3,FALSE,democratic,total,1291,,,,,,,,,,H6FL03081,"MCGURN, KENNETH RANDOL",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,5,Tom Wells,wells,US House,3,FALSE,none,total,71,,,,,,,,,,H6FL03073,"WELLS, THOMAS BECKWITH",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,5,Ted Yoho,yoho,US House,3,FALSE,republican,total,665,N00033220,Q3090476,Republican,Yoho,Ted,S.,Ted S. Yoho,,,H2FL06109,,kg:/m/0l8lwvh,412525,21317,1749
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,6,"Kenneth """"Ken"""" McGurn",mcgurn,US House,3,FALSE,democratic,total,716,,,,,,,,,,H6FL03081,"MCGURN, KENNETH RANDOL",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,6,Tom Wells,wells,US House,3,FALSE,none,total,46,,,,,,,,,,H6FL03073,"WELLS, THOMAS BECKWITH",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,6,Ted Yoho,yoho,US House,3,FALSE,republican,total,1325,N00033220,Q3090476,Republican,Yoho,Ted,S.,Ted S. Yoho,,,H2FL06109,,kg:/m/0l8lwvh,412525,21317,1749
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,7,"Kenneth """"Ken"""" McGurn",mcgurn,US House,3,FALSE,democratic,total,1192,,,,,,,,,,H6FL03081,"MCGURN, KENNETH RANDOL",,,,
2016,gen,FALSE,Florida,FL,12,43,Alachua County,12001,00308548,29.67574,-82.357221,Alachua,7,Tom Wells,wells,US House,3,FALSE,none,total,101,,,,,,,,,,H6FL03073,"WELLS, THOMAS BECKWITH",,,,
