year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-02,"GABBARD, Tulsi",gabbard,US House,2,FALSE,democratic,election day,200,N00033281,Q32620,Democrat,Gabbard,Tulsi,,Tulsi Gabbard,,,H2HI02508,,kg:/m/0cnyrfq,412532,21324,1756
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-02,"GABBARD, Tulsi",gabbard,US House,2,FALSE,democratic,absentee,221,N00033281,Q32620,Democrat,Gabbard,Tulsi,,Tulsi Gabbard,,,H2HI02508,,kg:/m/0cnyrfq,412532,21324,1756
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-02,"GABBARD, Tulsi",gabbard,US House,2,FALSE,democratic,early,28,N00033281,Q32620,Democrat,Gabbard,Tulsi,,Tulsi Gabbard,,,H2HI02508,,kg:/m/0cnyrfq,412532,21324,1756
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-02,"KAAIHUE, Angela Aulani",kaaihue,US House,2,FALSE,republican,election day,47,,,,,,,,,,,,,,,
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-02,"KAAIHUE, Angela Aulani",kaaihue,US House,2,FALSE,republican,absentee,33,,,,,,,,,,,,,,,
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-02,"KAAIHUE, Angela Aulani",kaaihue,US House,2,FALSE,republican,early,6,,,,,,,,,,,,,,,
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-03,"GABBARD, Tulsi",gabbard,US House,2,FALSE,democratic,election day,215,N00033281,Q32620,Democrat,Gabbard,Tulsi,,Tulsi Gabbard,,,H2HI02508,,kg:/m/0cnyrfq,412532,21324,1756
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-03,"GABBARD, Tulsi",gabbard,US House,2,FALSE,democratic,absentee,245,N00033281,Q32620,Democrat,Gabbard,Tulsi,,Tulsi Gabbard,,,H2HI02508,,kg:/m/0cnyrfq,412532,21324,1756
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-03,"GABBARD, Tulsi",gabbard,US House,2,FALSE,democratic,early,54,N00033281,Q32620,Democrat,Gabbard,Tulsi,,Tulsi Gabbard,,,H2HI02508,,kg:/m/0cnyrfq,412532,21324,1756
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-03,"KAAIHUE, Angela Aulani",kaaihue,US House,2,FALSE,republican,election day,37,,,,,,,,,,,,,,,
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-03,"KAAIHUE, Angela Aulani",kaaihue,US House,2,FALSE,republican,absentee,34,,,,,,,,,,,,,,,
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,01-03,"KAAIHUE, Angela Aulani",kaaihue,US House,2,FALSE,republican,early,6,,,,,,,,,,,,,,,
2016,gen,FALSE,Hawaii,HI,15,82,Hawaii County,15001,00365280,19.597764,-155.502443,Hawaii,02-03,"GABBARD, Tulsi",gabbard,US House,2,FALSE,democratic,election day,379,N00033281,Q32620,Democrat,Gabbard,Tulsi,,Tulsi Gabbard,,,H2HI02508,,kg:/m/0cnyrfq,412532,21324,1756
