year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1801,Raul R. Labrador,labrador,US House,1,FALSE,republican,election day,695,N00031377,Q555393,Republican,Labrador,Raúl,R.,Raúl R. Labrador,,,H0ID01253,,kg:/m/0c3zfwm,412419,21125,1431
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1801,Pro-Life,life,US House,1,TRUE,,election day,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1801,James Piotrowski,piotrowski,US House,1,FALSE,democratic,election day,489,,,,,,,,,,H6ID01250,"PIOTROWSKI, JAMES M",,,,
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1802,Raul R. Labrador,labrador,US House,1,FALSE,republican,election day,923,N00031377,Q555393,Republican,Labrador,Raúl,R.,Raúl R. Labrador,,,H0ID01253,,kg:/m/0c3zfwm,412419,21125,1431
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1802,Pro-Life,life,US House,1,TRUE,,election day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1802,James Piotrowski,piotrowski,US House,1,FALSE,democratic,election day,606,,,,,,,,,,H6ID01250,"PIOTROWSKI, JAMES M",,,,
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1803,Raul R. Labrador,labrador,US House,1,FALSE,republican,election day,606,N00031377,Q555393,Republican,Labrador,Raúl,R.,Raúl R. Labrador,,,H0ID01253,,kg:/m/0c3zfwm,412419,21125,1431
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1803,Pro-Life,life,US House,1,TRUE,,election day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1803,James Piotrowski,piotrowski,US House,1,FALSE,democratic,election day,393,,,,,,,,,,H6ID01250,"PIOTROWSKI, JAMES M",,,,
2016,gen,FALSE,Idaho,ID,16,63,Ada County,16001,00395066,43.451477,-116.244376,ADA,1804,Raul R. Labrador,labrador,US House,1,FALSE,republican,election day,68,N00031377,Q555393,Republican,Labrador,Raúl,R.,Raúl R. Labrador,,,H0ID01253,,kg:/m/0c3zfwm,412419,21125,1431
