year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,01-Berne A,Jim Banks,banks,US House,3,FALSE,republican,total,599,N00037185,Q16146788,Republican,Banks,Jim,,Jim Banks,,,H6IN03229,,kg:/m/0j621nj,412702,21702,2214
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,01-Berne A,Tommy A. Schrader,schrader,US House,3,FALSE,democratic,total,100,,,,,,,,,,,,,,,
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,01-Berne A,Pepper Snyder,snyder,US House,3,FALSE,libertarian,total,34,,,,,,,,,,,,,,,
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,02-Berne B,Jim Banks,banks,US House,3,FALSE,republican,total,543,N00037185,Q16146788,Republican,Banks,Jim,,Jim Banks,,,H6IN03229,,kg:/m/0j621nj,412702,21702,2214
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,02-Berne B,Tommy A. Schrader,schrader,US House,3,FALSE,democratic,total,84,,,,,,,,,,,,,,,
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,02-Berne B,Pepper Snyder,snyder,US House,3,FALSE,libertarian,total,33,,,,,,,,,,,,,,,
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,03-Berne C,Jim Banks,banks,US House,3,FALSE,republican,total,549,N00037185,Q16146788,Republican,Banks,Jim,,Jim Banks,,,H6IN03229,,kg:/m/0j621nj,412702,21702,2214
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,03-Berne C,Tommy A. Schrader,schrader,US House,3,FALSE,democratic,total,73,,,,,,,,,,,,,,,
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,03-Berne C,Pepper Snyder,snyder,US House,3,FALSE,libertarian,total,15,,,,,,,,,,,,,,,
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,04-Blue Creek,Jim Banks,banks,US House,3,FALSE,republican,total,184,N00037185,Q16146788,Republican,Banks,Jim,,Jim Banks,,,H6IN03229,,kg:/m/0j621nj,412702,21702,2214
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,04-Blue Creek,Tommy A. Schrader,schrader,US House,3,FALSE,democratic,total,27,,,,,,,,,,,,,,,
2016,gen,FALSE,Indiana,IN,18,22,Adams County,18001,00450401,40.745733,-84.93613,Adams,04-Blue Creek,Pepper Snyder,snyder,US House,3,FALSE,libertarian,total,5,,,,,,,,,,,,,,,
