year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,D104,James R. COMER,comer,US House,1,FALSE,,in person,280,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,D104,Samuel L. GASKINS,gaskins,US House,1,FALSE,,in person,88,,,,,,,,,,H4KY01073,"GASKINS, SAMUEL LEWIS",,,,
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,C104,James R. COMER,comer,US House,1,FALSE,,in person,446,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,C104,Samuel L. GASKINS,gaskins,US House,1,FALSE,,in person,97,,,,,,,,,,H4KY01073,"GASKINS, SAMUEL LEWIS",,,,
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,A105,James R. COMER,comer,US House,1,FALSE,,in person,263,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,A105,Samuel L. GASKINS,gaskins,US House,1,FALSE,,in person,46,,,,,,,,,,H4KY01073,"GASKINS, SAMUEL LEWIS",,,,
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,C102,James R. COMER,comer,US House,1,FALSE,,in person,349,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,C102,Samuel L. GASKINS,gaskins,US House,1,FALSE,,in person,86,,,,,,,,,,H4KY01073,"GASKINS, SAMUEL LEWIS",,,,
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,A102,James R. COMER,comer,US House,1,FALSE,,in person,200,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,A102,Samuel L. GASKINS,gaskins,US House,1,FALSE,,in person,18,,,,,,,,,,H4KY01073,"GASKINS, SAMUEL LEWIS",,,,
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,AB,James R. COMER,comer,US House,1,FALSE,,in person,429,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,AB,Samuel L. GASKINS,gaskins,US House,1,FALSE,,in person,105,,,,,,,,,,H4KY01073,"GASKINS, SAMUEL LEWIS",,,,
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,F101,James R. COMER,comer,US House,1,FALSE,,in person,574,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,F101,Samuel L. GASKINS,gaskins,US House,1,FALSE,,in person,118,,,,,,,,,,H4KY01073,"GASKINS, SAMUEL LEWIS",,,,
2016,gen,FALSE,Kentucky,KY,21,51,Adair County,21001,00516847,37.105559,-85.28138,Adair,A104,James R. COMER,comer,US House,1,FALSE,,in person,317,N00038260,Q6131602,Republican,Comer,James,,James Comer,,,H6KY01110,,kg:/m/0j65cf0,412676,21565,2166
