year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Chatham,1,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,1686,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Chatham,1,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,26,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Chatham,1,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,500,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Chatham,1,William Richard Keating,keating,US House,9,FALSE,democratic,total,2278,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Chatham,1,All Others,others,US House,9,FALSE,,total,3,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Chatham,1,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,11,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Orleans,1,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,1472,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Orleans,1,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,30,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Orleans,1,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,287,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Orleans,1,William Richard Keating,keating,US House,9,FALSE,democratic,total,2615,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Orleans,1,All Others,others,US House,9,FALSE,,total,4,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Orleans,1,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,18,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,1,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,943,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,1,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,23,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,1,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,121,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,1,William Richard Keating,keating,US House,9,FALSE,democratic,total,1299,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,1,All Others,others,US House,9,FALSE,,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,1,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,14,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,2,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,828,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,2,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,27,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,2,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,104,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,2,William Richard Keating,keating,US House,9,FALSE,democratic,total,1095,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,2,All Others,others,US House,9,FALSE,,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,2,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,3,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,513,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,3,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,25,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,3,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,84,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,3,William Richard Keating,keating,US House,9,FALSE,democratic,total,970,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,3,All Others,others,US House,9,FALSE,,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,3,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,7,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,4,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,781,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,4,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,18,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,4,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,116,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,4,William Richard Keating,keating,US House,9,FALSE,democratic,total,1040,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,4,All Others,others,US House,9,FALSE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,4,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,9,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,5,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,1066,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,5,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,17,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,5,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,120,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,5,William Richard Keating,keating,US House,9,FALSE,democratic,total,1037,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,5,All Others,others,US House,9,FALSE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,5,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,10,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,6,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,873,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,6,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,15,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,6,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,119,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,6,William Richard Keating,keating,US House,9,FALSE,democratic,total,1152,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,6,All Others,others,US House,9,FALSE,,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,6,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,9,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,7,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,978,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,7,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,14,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,7,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,110,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,7,William Richard Keating,keating,US House,9,FALSE,democratic,total,1256,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,7,All Others,others,US House,9,FALSE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,7,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,8,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,454,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,8,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,21,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,8,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,85,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,8,William Richard Keating,keating,US House,9,FALSE,democratic,total,943,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,8,All Others,others,US House,9,FALSE,,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,8,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,17,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,9,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,272,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,9,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,18,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,9,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,57,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,9,William Richard Keating,keating,US House,9,FALSE,democratic,total,645,N00031933,Q775412,Democrat,Keating,William,R.,William R. Keating,,,H0MA10082,,kg:/m/09v6g7c,412435,21140,1446
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,9,All Others,others,US House,9,FALSE,,total,3,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,9,Anna Grace Raduc,raduc,US House,9,FALSE,unenrolled,total,15,,,,,,,,,,,,,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,10,Mark C. Alliegro,alliegro,US House,9,FALSE,republican,total,826,,,,,,,,,,H4MA09052,"ALLIEGRO, MARK C",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,10,Christopher D. Cataldo,cataldo,US House,9,FALSE,unenrolled,total,26,,,,,,,,,,H6MA09164,"CATALDO, CHRISTOPHER DAVID",,,,
2016,gen,FALSE,Massachusetts,MA,25,3,Barnstable County,25001,00606927,41.799014,-70.21188,Barnstable,10,Paul J. Harrington,harrington,US House,9,FALSE,unenrolled,total,119,,,,,,,,,,H6MA09180,"HARRINGTON, PAUL J.",,,,
