year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Maine,ME,23,2,,,,,,CRIEHAVEN TOWNSHIP,1,"Bouchard, James J.",bouchard,US House,1,FALSE,libertarian,election day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,CRIEHAVEN TOWNSHIP,1,"Holbrook, Mark I.",holbrook,US House,1,FALSE,republican,election day,0,,,,,,,,,,H6ME01207,"HOLBROOK, MARK IRVING DR",,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,CRIEHAVEN TOWNSHIP,1,"Pingree, Chellie",pingree,US House,1,FALSE,democratic,election day,1,N00013817,Q457243,Democrat,Pingree,Chellie,,Chellie Pingree,,,H8ME01120; S0ME00038,,kg:/m/05gflq,412307,20920,789
2016,gen,FALSE,Maine,ME,23,2,,,,,,STATE UOCAVA,1,"Bouchard, James J.",bouchard,US House,1,FALSE,libertarian,election day,5,,,,,,,,,,,,,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,STATE UOCAVA,1,"Cain, Emily Ann",cain,US House,2,FALSE,democratic,election day,1130,,,,,,,,,,H4ME02200,"CAIN, EMILY",,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,STATE UOCAVA,1,"Dresser, Jay Parker",dresser,US House,2,FALSE,,election day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,STATE UOCAVA,1,"Holbrook, Mark I.",holbrook,US House,1,FALSE,republican,election day,397,,,,,,,,,,H6ME01207,"HOLBROOK, MARK IRVING DR",,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,STATE UOCAVA,1,"Pingree, Chellie",pingree,US House,1,FALSE,democratic,election day,1819,N00013817,Q457243,Democrat,Pingree,Chellie,,Chellie Pingree,,,H8ME01120; S0ME00038,,kg:/m/05gflq,412307,20920,789
2016,gen,FALSE,Maine,ME,23,2,,,,,,STATE UOCAVA,1,"Poliquin, Bruce",poliquin,US House,2,FALSE,republican,election day,486,N00034584,Q4978147,Republican,Poliquin,Bruce,,Bruce Poliquin,,,S2ME00158; H4ME02234,,kg:/m/0hrbhmw,412633,21524,2089
2016,gen,FALSE,Maine,ME,23,2,,,,,,ARGYLE TOWNSHIP,1,"Cain, Emily Ann",cain,US House,2,FALSE,democratic,election day,38,,,,,,,,,,H4ME02200,"CAIN, EMILY",,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,ARGYLE TOWNSHIP,1,"Dresser, Jay Parker",dresser,US House,2,FALSE,,election day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,ARGYLE TOWNSHIP,1,"Poliquin, Bruce",poliquin,US House,2,FALSE,republican,election day,44,N00034584,Q4978147,Republican,Poliquin,Bruce,,Bruce Poliquin,,,S2ME00158; H4ME02234,,kg:/m/0hrbhmw,412633,21524,2089
2016,gen,FALSE,Maine,ME,23,2,,,,,,BARNARD TWP/EBEEMEE TWP/T4 R9 NWP/WILLIAMSBURG TWP,1,"Cain, Emily Ann",cain,US House,2,FALSE,democratic,election day,36,,,,,,,,,,H4ME02200,"CAIN, EMILY",,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,BARNARD TWP/EBEEMEE TWP/T4 R9 NWP/WILLIAMSBURG TWP,1,"Dresser, Jay Parker",dresser,US House,2,FALSE,,election day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,BARNARD TWP/EBEEMEE TWP/T4 R9 NWP/WILLIAMSBURG TWP,1,"Poliquin, Bruce",poliquin,US House,2,FALSE,republican,election day,68,N00034584,Q4978147,Republican,Poliquin,Bruce,,Bruce Poliquin,,,S2ME00158; H4ME02234,,kg:/m/0hrbhmw,412633,21524,2089
2016,gen,FALSE,Maine,ME,23,2,,,,,,BERRY TWP/CATHANCE TWP/MARION TWP,1,"Cain, Emily Ann",cain,US House,2,FALSE,democratic,election day,13,,,,,,,,,,H4ME02200,"CAIN, EMILY",,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,BERRY TWP/CATHANCE TWP/MARION TWP,1,"Dresser, Jay Parker",dresser,US House,2,FALSE,,election day,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Maine,ME,23,2,,,,,,BERRY TWP/CATHANCE TWP/MARION TWP,1,"Poliquin, Bruce",poliquin,US House,2,FALSE,republican,election day,19,N00034584,Q4978147,Republican,Poliquin,Bruce,,Bruce Poliquin,,,S2ME00158; H4ME02234,,kg:/m/0hrbhmw,412633,21524,2089
