year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,AITKIN TWP|10,[Write-in],in,US House,8,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,AITKIN TWP|10,Stewart Mills,mills,US House,8,FALSE,republican,total,332,,,,,,,,,,H4MN08083,"MILLS, STEWART MR.",,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,AITKIN TWP|10,Rick Nolan,nolan,US House,8,FALSE,Democratic-Farmer-Labor,total,206,N00021207,Q2151594,Democrat,Nolan,Richard,M.,Richard M. Nolan,,,H2MN08111,,kg:/m/0dgfyp,408211,14263,1730
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,AITKIN|5,[Write-in],in,US House,8,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,AITKIN|5,Stewart Mills,mills,US House,8,FALSE,republican,total,491,,,,,,,,,,H4MN08083,"MILLS, STEWART MR.",,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,AITKIN|5,Rick Nolan,nolan,US House,8,FALSE,Democratic-Farmer-Labor,total,470,N00021207,Q2151594,Democrat,Nolan,Richard,M.,Richard M. Nolan,,,H2MN08111,,kg:/m/0dgfyp,408211,14263,1730
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BALL BLUFF TWP|15,[Write-in],in,US House,8,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BALL BLUFF TWP|15,Stewart Mills,mills,US House,8,FALSE,republican,total,80,,,,,,,,,,H4MN08083,"MILLS, STEWART MR.",,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BALL BLUFF TWP|15,Rick Nolan,nolan,US House,8,FALSE,Democratic-Farmer-Labor,total,82,N00021207,Q2151594,Democrat,Nolan,Richard,M.,Richard M. Nolan,,,H2MN08111,,kg:/m/0dgfyp,408211,14263,1730
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BALSAM TWP|20,[Write-in],in,US House,8,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BALSAM TWP|20,Stewart Mills,mills,US House,8,FALSE,republican,total,9,,,,,,,,,,H4MN08083,"MILLS, STEWART MR.",,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BALSAM TWP|20,Rick Nolan,nolan,US House,8,FALSE,Democratic-Farmer-Labor,total,10,N00021207,Q2151594,Democrat,Nolan,Richard,M.,Richard M. Nolan,,,H2MN08111,,kg:/m/0dgfyp,408211,14263,1730
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BEAVER TWP|25,[Write-in],in,US House,8,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BEAVER TWP|25,Stewart Mills,mills,US House,8,FALSE,republican,total,11,,,,,,,,,,H4MN08083,"MILLS, STEWART MR.",,,,
2016,gen,FALSE,Minnesota,MN,27,33,Aitkin County,27001,00663198,46.602446,-93.41976,Aitkin,BEAVER TWP|25,Rick Nolan,nolan,US House,8,FALSE,Democratic-Farmer-Labor,total,25,N00021207,Q2151594,Democrat,Nolan,Richard,M.,Richard M. Nolan,,,H2MN08111,,kg:/m/0dgfyp,408211,14263,1730
