year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,WRITE-INS,Emanuel Cleaver II,ii,US House,5,TRUE,democratic,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,WRITE-INS,Jacob Turk,turk,US House,5,TRUE,republican,total,0,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,WRITE-INS,Roy Welborn,welborn,US House,5,TRUE,libertarian,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,INTRASTATE,Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,13,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,INTRASTATE,Jacob Turk,turk,US House,5,FALSE,republican,total,8,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,INTRASTATE,Roy Welborn,welborn,US House,5,FALSE,libertarian,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W1 P1,4",Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,1304,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W1 P1,4",Jacob Turk,turk,US House,5,FALSE,republican,total,328,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W1 P1,4",Roy Welborn,welborn,US House,5,FALSE,libertarian,total,54,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W1 P2, 7",Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,1103,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W1 P2, 7",Jacob Turk,turk,US House,5,FALSE,republican,total,192,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W1 P2, 7",Roy Welborn,welborn,US House,5,FALSE,libertarian,total,33,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P3,Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,645,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P3,Jacob Turk,turk,US House,5,FALSE,republican,total,164,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P3,Roy Welborn,welborn,US House,5,FALSE,libertarian,total,27,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P5,Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,889,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P5,Jacob Turk,turk,US House,5,FALSE,republican,total,74,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P5,Roy Welborn,welborn,US House,5,FALSE,libertarian,total,22,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P6,Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,885,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P6,Jacob Turk,turk,US House,5,FALSE,republican,total,232,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,W1 P6,Roy Welborn,welborn,US House,5,FALSE,libertarian,total,37,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W2 P2, 1,3,18",Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,733,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W2 P2, 1,3,18",Jacob Turk,turk,US House,5,FALSE,republican,total,58,,,,,,,,,,H6MO05189,"TURK, JACOB",,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W2 P2, 1,3,18",Roy Welborn,welborn,US House,5,FALSE,libertarian,total,5,,,,,,,,,,,,,,,
2016,gen,FALSE,Missouri,MO,29,34,,29380,,,,Kansas City,"W2 P8, 12",Emanuel Cleaver II,ii,US House,5,FALSE,democratic,total,324,,,,,,,,,,,,,,,
