year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Concord,roger l gerrard,gerrard,US House,3,FALSE,veterans,total,9,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Concord,gregg harper,harper,US House,3,FALSE,republican,total,70,N00029632,Q1545023,Republican,Harper,Gregg,,Gregg Harper,,,H8MS03067,,kg:/m/0406s7r,412280,20925,762
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Concord,dennis c quinn,quinn,US House,3,FALSE,democratic,total,403,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Concord,lajena sheets,sheets,US House,3,FALSE,reform,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Maryland Hgts,roger l gerrard,gerrard,US House,3,FALSE,veterans,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Maryland Hgts,gregg harper,harper,US House,3,FALSE,republican,total,58,N00029632,Q1545023,Republican,Harper,Gregg,,Gregg Harper,,,H8MS03067,,kg:/m/0406s7r,412280,20925,762
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Maryland Hgts,dennis c quinn,quinn,US House,3,FALSE,democratic,total,400,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Maryland Hgts,lajena sheets,sheets,US House,3,FALSE,reform,total,7,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Nps Multi Purpose Bldg.,roger l gerrard,gerrard,US House,3,FALSE,veterans,total,13,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Nps Multi Purpose Bldg.,gregg harper,harper,US House,3,FALSE,republican,total,177,N00029632,Q1545023,Republican,Harper,Gregg,,Gregg Harper,,,H8MS03067,,kg:/m/0406s7r,412280,20925,762
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Nps Multi Purpose Bldg.,dennis c quinn,quinn,US House,3,FALSE,democratic,total,185,,,,,,,,,,,,,,,
2016,gen,FALSE,Mississippi,MS,28,46,Adams County,28001,00695726,31.486218,-91.351781,adams,District 3 Nps Multi Purpose Bldg.,lajena sheets,sheets,US House,3,FALSE,reform,total,3,,,,,,,,,,,,,,,
