year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 23,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,4,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 23,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,30,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 23,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,92,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 14,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,23,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 14,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,163,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 14,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,210,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 17,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 17,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,27,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 17,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,79,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 12,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 12,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,185,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 12,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,284,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 19,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,3,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 19,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,25,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 19,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,86,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 21,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 21,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,36,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 21,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,121,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 20,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,4,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 20,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,2,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 20,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,74,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 03,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,17,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 03,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,186,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 03,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,532,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 06,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,18,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 06,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,173,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 06,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,326,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 04,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,6,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 04,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,41,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 04,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,128,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 08,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 08,DENISE JUNEAU,juneau,US House,0,FALSE,democratic,total,9,,,,,,,,,,H6MT01095,"JUNEAU, DENISE",,,,
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 08,RYAN ZINKE,zinke,US House,0,FALSE,republican,total,63,N00035616,Q7384672,Republican,Zinke,Ryan,,Ryan K. Zinke,,,H4MT01041,,kg:/m/0gkz1jg,412640,,2096
2016,gen,FALSE,Montana,MT,30,64,Beaverhead County,30001,01719627,45.133863,-112.892869,Beaverhead,PRECINCT 02,RICK BRECKENRIDGE,breckenridge,US House,0,FALSE,libertarian,total,27,,,,,,,,,,,,,,,
