year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,North Dakota,ND,38,36,Adams County,38001,01034210,46.096815,-102.533198,Adams,Adams County,,,US House,0,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,North Dakota,ND,38,36,Adams County,38001,01034210,46.096815,-102.533198,Adams,Adams County,Kevin Cramer,cramer,US House,0,FALSE,,total,1003,N00004614,Q3957020,Republican,Cramer,Kevin,,Kevin Cramer,,,H0ND01026; H6ND00074,,kg:/m/02rhrnw,412555,21350,1779
2016,gen,FALSE,North Dakota,ND,38,36,Adams County,38001,01034210,46.096815,-102.533198,Adams,Adams County,Chase Iron Eyes,eyes,US House,0,FALSE,,total,151,,,,,,,,,,H6ND01015,"IRON EYES, CHASE MR.",,,,
2016,gen,FALSE,North Dakota,ND,38,36,Adams County,38001,01034210,46.096815,-102.533198,Adams,Adams County,Jack Seaman,seaman,US House,0,FALSE,,total,58,,,,,,,,,,H4ND01028,"SEAMAN, JACK",,,,
2016,gen,FALSE,North Dakota,ND,38,36,Barnes County,38003,01034225,46.94255,-98.070195,Barnes,Precinct 2407-00,,,US House,0,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,North Dakota,ND,38,36,Barnes County,38003,01034225,46.94255,-98.070195,Barnes,Precinct 2407-00,Kevin Cramer,cramer,US House,0,FALSE,,total,91,N00004614,Q3957020,Republican,Cramer,Kevin,,Kevin Cramer,,,H0ND01026; H6ND00074,,kg:/m/02rhrnw,412555,21350,1779
2016,gen,FALSE,North Dakota,ND,38,36,Barnes County,38003,01034225,46.94255,-98.070195,Barnes,Precinct 2407-00,Chase Iron Eyes,eyes,US House,0,FALSE,,total,30,,,,,,,,,,H6ND01015,"IRON EYES, CHASE MR.",,,,
2016,gen,FALSE,North Dakota,ND,38,36,Barnes County,38003,01034225,46.94255,-98.070195,Barnes,Precinct 2407-00,Jack Seaman,seaman,US House,0,FALSE,,total,11,,,,,,,,,,H4ND01028,"SEAMAN, JACK",,,,
2016,gen,FALSE,North Dakota,ND,38,36,Barnes County,38003,01034225,46.94255,-98.070195,Barnes,Precinct 2410-00,,,US House,0,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,North Dakota,ND,38,36,Barnes County,38003,01034225,46.94255,-98.070195,Barnes,Precinct 2410-00,Kevin Cramer,cramer,US House,0,FALSE,,total,50,N00004614,Q3957020,Republican,Cramer,Kevin,,Kevin Cramer,,,H0ND01026; H6ND00074,,kg:/m/02rhrnw,412555,21350,1779
