year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 1,John J. Babiarz,babiarz,US House,2,FALSE,independent,total,78,,,,,,,,,,,,,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 1,Ann McLane Kuster,kuster,US House,2,FALSE,democratic,total,555,N00030875,Q3917208,Democrat,Kuster,Ann,M.,Ann M. Kuster,,,H0NH02181,,kg:/m/064p47_,412557,21340,1781
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 1,Jim Lawrence,lawrence,US House,2,FALSE,republican,total,682,,,,,,,,,,H6NH02238,"LAWRENCE, JIM",,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 2,John J. Babiarz,babiarz,US House,2,FALSE,independent,total,77,,,,,,,,,,,,,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 2,Ann McLane Kuster,kuster,US House,2,FALSE,democratic,total,431,N00030875,Q3917208,Democrat,Kuster,Ann,M.,Ann M. Kuster,,,H0NH02181,,kg:/m/064p47_,412557,21340,1781
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 2,Jim Lawrence,lawrence,US House,2,FALSE,republican,total,463,,,,,,,,,,H6NH02238,"LAWRENCE, JIM",,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 3,John J. Babiarz,babiarz,US House,2,FALSE,independent,total,84,,,,,,,,,,,,,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 3,Ann McLane Kuster,kuster,US House,2,FALSE,democratic,total,668,N00030875,Q3917208,Democrat,Kuster,Ann,M.,Ann M. Kuster,,,H0NH02181,,kg:/m/064p47_,412557,21340,1781
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Franklin,Ward 3,Jim Lawrence,lawrence,US House,2,FALSE,republican,total,666,,,,,,,,,,H6NH02238,"LAWRENCE, JIM",,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Manchester,Ward 1,Shawn P. O'Connor,connor,US House,1,FALSE,independent,total,529,,,,,,,,,,H6NH01271,"O'CONNOR, SHAWN PATRICK PATRICK",,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Manchester,Ward 1,Frank Guinta,guinta,US House,1,FALSE,republican,total,2102,N00030801,Q24250,Republican,Guinta,Frank,,Frank C. Guinta,,,H0NH01217,,kg:/m/08s8q3,412447,21152,1457
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Manchester,Ward 1,Brendan Kelly,kelly,US House,1,FALSE,independent,total,69,,,,,,,,,,,,,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Manchester,Ward 1,Robert Lombardo,lombardo,US House,1,FALSE,libertarian,total,82,,,,,,,,,,,,,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Manchester,Ward 1,Carol Shea-Porter,porter,US House,1,FALSE,democratic,total,2646,,,,,,,,,,H6NH01230,"SHEA-PORTER, CAROL",,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Manchester,Ward 2,Shawn P. O'Connor,connor,US House,1,FALSE,independent,total,524,,,,,,,,,,H6NH01271,"O'CONNOR, SHAWN PATRICK PATRICK",,,,
2016,gen,FALSE,New Hampshire,NH,33,4,,,,,,Manchester,Ward 2,Frank Guinta,guinta,US House,1,FALSE,republican,total,1792,N00030801,Q24250,Republican,Guinta,Frank,,Frank C. Guinta,,,H0NH01217,,kg:/m/08s8q3,412447,21152,1457
