year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 001,BEN R LUJAN,lujan,US House,3,FALSE,democratic,total,388,,,,,,,,,,H8NM03196,"LUJAN, BEN R MR.",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 001,MICHAEL H ROMERO,romero,US House,3,FALSE,republican,total,316,,,,,,,,,,H6NM03067,"ROMERO, MICHAEL H",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 024,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,813,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 024,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,499,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 057,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,557,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 057,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,357,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 080,BEN R LUJAN,lujan,US House,3,FALSE,democratic,total,699,,,,,,,,,,H8NM03196,"LUJAN, BEN R MR.",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 080,MICHAEL H ROMERO,romero,US House,3,FALSE,republican,total,537,,,,,,,,,,H6NM03067,"ROMERO, MICHAEL H",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 081,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,1050,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 081,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,749,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 115,BEN R LUJAN,lujan,US House,3,FALSE,democratic,total,1056,,,,,,,,,,H8NM03196,"LUJAN, BEN R MR.",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 115,MICHAEL H ROMERO,romero,US House,3,FALSE,republican,total,910,,,,,,,,,,H6NM03067,"ROMERO, MICHAEL H",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 117,BEN R LUJAN,lujan,US House,3,FALSE,democratic,total,814,,,,,,,,,,H8NM03196,"LUJAN, BEN R MR.",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 117,MICHAEL H ROMERO,romero,US House,3,FALSE,republican,total,857,,,,,,,,,,H6NM03067,"ROMERO, MICHAEL H",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 118,BEN R LUJAN,lujan,US House,3,FALSE,democratic,total,531,,,,,,,,,,H8NM03196,"LUJAN, BEN R MR.",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 118,MICHAEL H ROMERO,romero,US House,3,FALSE,republican,total,599,,,,,,,,,,H6NM03067,"ROMERO, MICHAEL H",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 127,BEN R LUJAN,lujan,US House,3,FALSE,democratic,total,682,,,,,,,,,,H8NM03196,"LUJAN, BEN R MR.",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 127,MICHAEL H ROMERO,romero,US House,3,FALSE,republican,total,650,,,,,,,,,,H6NM03067,"ROMERO, MICHAEL H",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 128,BEN R LUJAN,lujan,US House,3,FALSE,democratic,total,314,,,,,,,,,,H8NM03196,"LUJAN, BEN R MR.",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 128,MICHAEL H ROMERO,romero,US House,3,FALSE,republican,total,295,,,,,,,,,,H6NM03067,"ROMERO, MICHAEL H",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 134,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,1085,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 134,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,556,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 002,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,329,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 002,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,283,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 003,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,487,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 003,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,352,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 004,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,361,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 004,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,203,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 009,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,334,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 009,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,166,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 010,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,370,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 010,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,214,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 011,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,579,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 011,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,192,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 012,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,468,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 012,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,174,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 013,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,406,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 013,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,186,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 014,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,395,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 014,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,171,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 015,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,452,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 015,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,198,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 016,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,327,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 016,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,120,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 018,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,484,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 018,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,193,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 019,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,727,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 019,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,578,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 020,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,608,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 020,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,356,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 021,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,805,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 021,RICHARD GREGORY PRIEM,priem,US House,1,FALSE,republican,total,476,,,,,,,,,,,,,,,
2016,gen,FALSE,New Mexico,NM,35,66,Bernalillo County,35001,01702363,35.054002,-106.669064,Bernalillo,PCT 022,MICHELLE LUJAN GRISHAM,grisham,US House,1,FALSE,democratic,total,426,,,,,,,,,,H8NM01257,"LUJAN GRISHAM, MICHELLE",,,,
