year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 101,"Amodei, Mark E.",amodei,US House,2,FALSE,republican,total,450,N00031177,Q23944,Republican,Amodei,Mark,E.,Mark E. Amodei,,,H2NV02395; H1NV02017; S0NV00237,,kg:/m/03bzdkn,412500,21196,1680
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 101,"EVANS, H.D. CHIP",evanschip,US House,2,FALSE,democratic,total,327,,,,,,,,,,,,,,,
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 101,"Everhart, John H.",everhart,US House,2,FALSE,independent american,total,26,,,,,,,,,,,,,,,
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 101,"KNIGHT, DREW",knight,US House,2,FALSE,none,total,22,,,,,,,,,,,,,,,
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 103,"Amodei, Mark E.",amodei,US House,2,FALSE,republican,total,560,N00031177,Q23944,Republican,Amodei,Mark,E.,Mark E. Amodei,,,H2NV02395; H1NV02017; S0NV00237,,kg:/m/03bzdkn,412500,21196,1680
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 103,"EVANS, H.D. CHIP",evanschip,US House,2,FALSE,democratic,total,343,,,,,,,,,,,,,,,
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 103,"Everhart, John H.",everhart,US House,2,FALSE,independent american,total,9,,,,,,,,,,,,,,,
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 103,"KNIGHT, DREW",knight,US House,2,FALSE,none,total,13,,,,,,,,,,,,,,,
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 105,"Amodei, Mark E.",amodei,US House,2,FALSE,republican,total,718,N00031177,Q23944,Republican,Amodei,Mark,E.,Mark E. Amodei,,,H2NV02395; H1NV02017; S0NV00237,,kg:/m/03bzdkn,412500,21196,1680
2016,gen,FALSE,Nevada,NV,32,65,Carson City,32510,00863219,39.15306,-119.747379,Carson City,Precinct 105,"EVANS, H.D. CHIP",evanschip,US House,2,FALSE,democratic,total,316,,,,,,,,,,,,,,,
