year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,early,3,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,mail,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,ed,9,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,early,25,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,mail,14,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,ed,245,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,early,5,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,mail,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10001,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,ed,54,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,early,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,mail,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,ed,11,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,early,19,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,mail,5,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,ed,207,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,early,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,mail,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10002,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,ed,47,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,early,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,mail,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,JOHN McCARTHY,mccarthy,US House,2,FALSE,independent,ed,7,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,early,0,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,mail,5,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,MARKWAYNE MULLIN,mullin,US House,2,FALSE,republican,ed,88,N00033410,Q3448772,Republican,Mullin,Markwayne,,Markwayne Mullin,,,H2OK02083,,kg:/m/0lq78pn,412568,21355,1792
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,early,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,mail,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Oklahoma,OK,40,53,Adair County,40001,01101788,35.898043,-94.651026,ADAIR,10003,JOSHUA HARRIS-TILL,till,US House,2,FALSE,democratic,ed,33,,,,,,,,,,,,,,,
