year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,13,[Write-in],in,US House,2,TRUE,,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,13,James (Jim) Crary,crary,US House,2,FALSE,democrat,total,75,,,,,,,,,,,,,,,
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,13,Greg Walden,walden,US House,2,FALSE,"republican, independent",total,607,N00007690,Q1397359,Republican,Walden,Greg,P.,Greg Walden,,,H6OR02116,,kg:/m/033tx_,400419,29932,504
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,14,[Write-in],in,US House,2,TRUE,,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,14,James (Jim) Crary,crary,US House,2,FALSE,democrat,total,3,,,,,,,,,,,,,,,
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,14,Greg Walden,walden,US House,2,FALSE,"republican, independent",total,76,N00007690,Q1397359,Republican,Walden,Greg,P.,Greg Walden,,,H6OR02116,,kg:/m/033tx_,400419,29932,504
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,15,[Write-in],in,US House,2,TRUE,,total,3,,,,,,,,,,,,,,,
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,15,James (Jim) Crary,crary,US House,2,FALSE,democrat,total,66,,,,,,,,,,,,,,,
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,15,Greg Walden,walden,US House,2,FALSE,"republican, independent",total,353,N00007690,Q1397359,Republican,Walden,Greg,P.,Greg Walden,,,H6OR02116,,kg:/m/033tx_,400419,29932,504
2016,gen,FALSE,Oregon,OR,41,72,Baker County,41001,01135845,44.703427,-117.691933,Baker,17,[Write-in],in,US House,2,TRUE,,total,4,,,,,,,,,,,,,,,
