year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,10,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,113,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,10,SCOTT PERRY,perry,US House,4,FALSE,republican,total,298,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,20,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,123,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,20,SCOTT PERRY,perry,US House,4,FALSE,republican,total,268,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,30,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,76,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,30,SCOTT PERRY,perry,US House,4,FALSE,republican,total,177,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,40,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,248,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,40,SCOTT PERRY,perry,US House,4,FALSE,republican,total,833,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,50,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,134,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,50,SCOTT PERRY,perry,US House,4,FALSE,republican,total,346,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,60,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,184,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,60,SCOTT PERRY,perry,US House,4,FALSE,republican,total,545,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,70,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,248,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,70,SCOTT PERRY,perry,US House,4,FALSE,republican,total,968,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,80,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,328,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,80,SCOTT PERRY,perry,US House,4,FALSE,republican,total,839,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,85,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,269,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,85,SCOTT PERRY,perry,US House,4,FALSE,republican,total,673,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,90,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,378,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,90,SCOTT PERRY,perry,US House,4,FALSE,republican,total,1076,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,100,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,359,,,,,,,,,,,,,,,
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,100,SCOTT PERRY,perry,US House,4,FALSE,republican,total,1164,N00034120,Q7437040,Republican,Perry,Scott,,Scott Perry,,,H2PA04135,,kg:/m/04mwt6y,412569,21356,1793
2016,gen,FALSE,Pennsylvania,PA,42,14,Adams County,42001,01213656,39.869471,-77.21773,Adams,110,JOSHUA T BURKHOLDER,burkholder,US House,4,FALSE,democratic,total,455,,,,,,,,,,,,,,,
