year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Porcupine,Paula Hawks,hawks,US House,0,FALSE,democratic,total,330,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Porcupine,Kristi Noem,noem,US House,0,FALSE,republican,total,66,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Manderson,Paula Hawks,hawks,US House,0,FALSE,democratic,total,137,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Manderson,Kristi Noem,noem,US House,0,FALSE,republican,total,40,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Batesland,Paula Hawks,hawks,US House,0,FALSE,democratic,total,98,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Batesland,Kristi Noem,noem,US House,0,FALSE,republican,total,52,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Cuny Table,Paula Hawks,hawks,US House,0,FALSE,democratic,total,35,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Cuny Table,Kristi Noem,noem,US House,0,FALSE,republican,total,19,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Kyle,Paula Hawks,hawks,US House,0,FALSE,democratic,total,407,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Kyle,Kristi Noem,noem,US House,0,FALSE,republican,total,93,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Pine Ridge 1,Paula Hawks,hawks,US House,0,FALSE,democratic,total,531,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Pine Ridge 1,Kristi Noem,noem,US House,0,FALSE,republican,total,85,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Oglala,Paula Hawks,hawks,US House,0,FALSE,democratic,total,355,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Oglala,Kristi Noem,noem,US House,0,FALSE,republican,total,66,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Pine Ridge 3,Paula Hawks,hawks,US House,0,FALSE,democratic,total,388,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Pine Ridge 3,Kristi Noem,noem,US House,0,FALSE,republican,total,69,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Rockyford,Paula Hawks,hawks,US House,0,FALSE,democratic,total,73,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,,46113,,,,Oglala Lakota,Rockyford,Kristi Noem,noem,US House,0,FALSE,republican,total,23,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-2,Paula Hawks,hawks,US House,0,FALSE,democratic,total,50,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-2,Kristi Noem,noem,US House,0,FALSE,republican,total,107,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-5,Paula Hawks,hawks,US House,0,FALSE,democratic,total,74,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-5,Kristi Noem,noem,US House,0,FALSE,republican,total,128,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-1,Paula Hawks,hawks,US House,0,FALSE,democratic,total,85,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-1,Kristi Noem,noem,US House,0,FALSE,republican,total,229,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-3,Paula Hawks,hawks,US House,0,FALSE,democratic,total,159,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-3,Kristi Noem,noem,US House,0,FALSE,republican,total,262,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-7,Paula Hawks,hawks,US House,0,FALSE,democratic,total,124,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Aurora County,46003,01266983,43.724719,-98.577587,Aurora,Precinct-7,Kristi Noem,noem,US House,0,FALSE,republican,total,203,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-12,Paula Hawks,hawks,US House,0,FALSE,democratic,total,261,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-12,Kristi Noem,noem,US House,0,FALSE,republican,total,593,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-15,Paula Hawks,hawks,US House,0,FALSE,democratic,total,35,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-15,Kristi Noem,noem,US House,0,FALSE,republican,total,214,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-17,Paula Hawks,hawks,US House,0,FALSE,democratic,total,92,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-17,Kristi Noem,noem,US House,0,FALSE,republican,total,194,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W2,Paula Hawks,hawks,US House,0,FALSE,democratic,total,278,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W2,Kristi Noem,noem,US House,0,FALSE,republican,total,368,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W8-1,Paula Hawks,hawks,US House,0,FALSE,democratic,total,253,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W8-1,Kristi Noem,noem,US House,0,FALSE,republican,total,376,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W3,Paula Hawks,hawks,US House,0,FALSE,democratic,total,240,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W3,Kristi Noem,noem,US House,0,FALSE,republican,total,385,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W7-1,Paula Hawks,hawks,US House,0,FALSE,democratic,total,277,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W7-1,Kristi Noem,noem,US House,0,FALSE,republican,total,521,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W1,Paula Hawks,hawks,US House,0,FALSE,democratic,total,417,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W1,Kristi Noem,noem,US House,0,FALSE,republican,total,828,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W8-2,Paula Hawks,hawks,US House,0,FALSE,democratic,total,235,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W8-2,Kristi Noem,noem,US House,0,FALSE,republican,total,478,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W7-2,Paula Hawks,hawks,US House,0,FALSE,democratic,total,252,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Beadle County,46005,01266986,44.418265,-98.279422,Beadle,Precinct-W7-2,Kristi Noem,noem,US House,0,FALSE,republican,total,534,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Bennett County,46007,01265812,43.186912,-101.677181,Bennett,Martin City Precinct,Paula Hawks,hawks,US House,0,FALSE,democratic,total,128,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Bennett County,46007,01265812,43.186912,-101.677181,Bennett,Martin City Precinct,Kristi Noem,noem,US House,0,FALSE,republican,total,231,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Bennett County,46007,01265812,43.186912,-101.677181,Bennett,Allen Precinct,Paula Hawks,hawks,US House,0,FALSE,democratic,total,166,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Bennett County,46007,01265812,43.186912,-101.677181,Bennett,Allen Precinct,Kristi Noem,noem,US House,0,FALSE,republican,total,96,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
2016,gen,FALSE,South Dakota,SD,46,37,Bennett County,46007,01265812,43.186912,-101.677181,Bennett,Vetal/Tuthill Precinct,Paula Hawks,hawks,US House,0,FALSE,democratic,total,16,,,,,,,,,,H6SD01091,"HAWKS, PAULA",,,,
2016,gen,FALSE,South Dakota,SD,46,37,Bennett County,46007,01265812,43.186912,-101.677181,Bennett,Vetal/Tuthill Precinct,Kristi Noem,noem,US House,0,FALSE,republican,total,150,N00032022,Q465749,Republican,Noem,Kristi,L.,Kristi L. Noem,,,H0SD00054,,kg:/m/0c3xgn9,412475,21177,1480
