year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Andersonville|1,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,1124,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Andersonville|1,Topher Kersting,kersting,US House,3,FALSE,independent,total,21,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Andersonville|1,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,36,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Andersonville|1,Melody Shekari,shekari,US House,3,FALSE,democratic,total,195,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Andersonville|1,Rick Tyler,tyler,US House,3,FALSE,independent,total,30,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Briceville|2,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,207,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Briceville|2,Topher Kersting,kersting,US House,3,FALSE,independent,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Briceville|2,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,3,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Briceville|2,Melody Shekari,shekari,US House,3,FALSE,democratic,total,38,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Briceville|2,Rick Tyler,tyler,US House,3,FALSE,independent,total,8,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Bull Run|3,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,1319,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Bull Run|3,Topher Kersting,kersting,US House,3,FALSE,independent,total,26,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Bull Run|3,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,37,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Bull Run|3,Melody Shekari,shekari,US House,3,FALSE,democratic,total,391,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Bull Run|3,Rick Tyler,tyler,US House,3,FALSE,independent,total,44,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Clinton|4,Chuck Fleischmann,fleischmann,US House,3,FALSE,republican,total,1326,N00030815,Q521959,Republican,Fleischmann,Charles,J.,"Charles J. ""Chuck"" Fleischmann",,Chuck,H0TN03254,,kg:/m/0ddd54f,412476,21178,1481
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Clinton|4,Topher Kersting,kersting,US House,3,FALSE,independent,total,14,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Clinton|4,Cassandra Mitchell,mitchell,US House,3,FALSE,independent,total,33,,,,,,,,,,,,,,,
2016,gen,FALSE,Tennessee,TN,47,54,Anderson County,47001,01639722,36.116731,-84.195418,Anderson,Clinton|4,Melody Shekari,shekari,US House,3,FALSE,democratic,total,453,,,,,,,,,,H6TN03152,"SHEKARI, MELODY",,,,
