year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,# AB - Central Absentee Precinct,[Write-in],in,US House,2,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,# AB - Central Absentee Precinct,Shaun D. Brown,brown,US House,2,FALSE,democratic,total,700,,,,,,,,,,H6VA02115,"BROWN, SHAUN DENISE",,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,# AB - Central Absentee Precinct,SCOTT WILLIAM TAYLOR,taylor,US House,2,FALSE,republican,total,704,N00031263,Q17089502,Republican,Taylor,Scott,,Scott Taylor,,,H0VA02118,,kg:/m/011bsmj8,412727,21748,2239
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,## Provisional,[Write-in],in,US House,2,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,## Provisional,Shaun D. Brown,brown,US House,2,FALSE,democratic,total,2,,,,,,,,,,H6VA02115,"BROWN, SHAUN DENISE",,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,## Provisional,SCOTT WILLIAM TAYLOR,taylor,US House,2,FALSE,republican,total,4,N00031263,Q17089502,Republican,Taylor,Scott,,Scott Taylor,,,H0VA02118,,kg:/m/011bsmj8,412727,21748,2239
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,101 - CHINCOTEAGUE,[Write-in],in,US House,2,TRUE,,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,101 - CHINCOTEAGUE,Shaun D. Brown,brown,US House,2,FALSE,democratic,total,397,,,,,,,,,,H6VA02115,"BROWN, SHAUN DENISE",,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,101 - CHINCOTEAGUE,SCOTT WILLIAM TAYLOR,taylor,US House,2,FALSE,republican,total,1220,N00031263,Q17089502,Republican,Taylor,Scott,,Scott Taylor,,,H0VA02118,,kg:/m/011bsmj8,412727,21748,2239
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,201 - ATLANTIC,[Write-in],in,US House,2,TRUE,,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,201 - ATLANTIC,Shaun D. Brown,brown,US House,2,FALSE,democratic,total,126,,,,,,,,,,H6VA02115,"BROWN, SHAUN DENISE",,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,201 - ATLANTIC,SCOTT WILLIAM TAYLOR,taylor,US House,2,FALSE,republican,total,595,N00031263,Q17089502,Republican,Taylor,Scott,,Scott Taylor,,,H0VA02118,,kg:/m/011bsmj8,412727,21748,2239
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,202 - GREENBACKVILLE,[Write-in],in,US House,2,TRUE,,total,1,,,,,,,,,,,,,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,202 - GREENBACKVILLE,Shaun D. Brown,brown,US House,2,FALSE,democratic,total,261,,,,,,,,,,H6VA02115,"BROWN, SHAUN DENISE",,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,202 - GREENBACKVILLE,SCOTT WILLIAM TAYLOR,taylor,US House,2,FALSE,republican,total,739,N00031263,Q17089502,Republican,Taylor,Scott,,Scott Taylor,,,H0VA02118,,kg:/m/011bsmj8,412727,21748,2239
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,301 - NEW CHURCH,[Write-in],in,US House,2,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,301 - NEW CHURCH,Shaun D. Brown,brown,US House,2,FALSE,democratic,total,634,,,,,,,,,,H6VA02115,"BROWN, SHAUN DENISE",,,,
2016,gen,FALSE,Virginia,VA,51,40,Accomack County,51001,01480091,37.765944,-75.757807,ACCOMACK COUNTY,301 - NEW CHURCH,SCOTT WILLIAM TAYLOR,taylor,US House,2,FALSE,republican,total,620,N00031263,Q17089502,Republican,Taylor,Scott,,Scott Taylor,,,H0VA02118,,kg:/m/011bsmj8,412727,21748,2239
