year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Fairview,Clint Didier,didier,US House,4,FALSE,republican,election day,14,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Fairview,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,18,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Cunningham,Clint Didier,didier,US House,4,FALSE,republican,election day,3,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Cunningham,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,7,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #1,Clint Didier,didier,US House,4,FALSE,republican,election day,20,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #1,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,26,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #2,Clint Didier,didier,US House,4,FALSE,republican,election day,99,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #2,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,138,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #3,Clint Didier,didier,US House,4,FALSE,republican,election day,93,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #3,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,155,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #4,Clint Didier,didier,US House,4,FALSE,republican,election day,117,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #4,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,144,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #5,Clint Didier,didier,US House,4,FALSE,republican,election day,97,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #5,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,136,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #6,Clint Didier,didier,US House,4,FALSE,republican,election day,80,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello City #6,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,136,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #1,Clint Didier,didier,US House,4,FALSE,republican,election day,46,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #1,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,60,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #2,Clint Didier,didier,US House,4,FALSE,republican,election day,80,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #2,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,81,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #3,Clint Didier,didier,US House,4,FALSE,republican,election day,168,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #3,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,132,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #4,Clint Didier,didier,US House,4,FALSE,republican,election day,117,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #4,Dan Newhouse,newhouse,US House,4,FALSE,republican,election day,119,N00036403,Q16733285,Republican,Newhouse,Dan,,Dan Newhouse,,,H4WA04104,,kg:/m/0_s0bn3,412660,21556,2116
2016,gen,FALSE,Washington,WA,53,73,Adams County,53001,01531601,47.011238,-118.512861,Adams,Othello Rural #5,Clint Didier,didier,US House,4,FALSE,republican,election day,106,,,,,,,,,,H4WA04088,"DIDIER, CLINT",,,,
