year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF ADAMS Wards 1-3,Ron Kind,kind,US House,3,FALSE,democratic,total,313,N00004403,Q505222,Democrat,Kind,Ron,James,Ron Kind,,,H6WI03099,,kg:/m/024ty6,400218,29769,319
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF ADAMS Wards 1-3,Ryan Peterson,peterson,US House,3,TRUE,republican,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF ADAMS Wards 1-3,SCATTERING,scattering,US House,3,FALSE,NA,total,5,,,,,,,,,,,,,,,
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF BIG FLATS Ward 1-2,Ron Kind,kind,US House,3,FALSE,democratic,total,316,N00004403,Q505222,Democrat,Kind,Ron,James,Ron Kind,,,H6WI03099,,kg:/m/024ty6,400218,29769,319
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF BIG FLATS Ward 1-2,Ryan Peterson,peterson,US House,3,TRUE,republican,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF BIG FLATS Ward 1-2,SCATTERING,scattering,US House,3,FALSE,NA,total,7,,,,,,,,,,,,,,,
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF COLBURN Ward 1,Ron Kind,kind,US House,3,FALSE,democratic,total,71,N00004403,Q505222,Democrat,Kind,Ron,James,Ron Kind,,,H6WI03099,,kg:/m/024ty6,400218,29769,319
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF COLBURN Ward 1,Ryan Peterson,peterson,US House,3,TRUE,republican,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF COLBURN Ward 1,SCATTERING,scattering,US House,3,FALSE,NA,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Wisconsin,WI,55,25,Adams County,5500100000,01581060,43.973763,-89.767223,ADAMS,TOWN OF DELL PRAIRIE Ward 1-3,Ron Kind,kind,US House,3,FALSE,democratic,total,384,N00004403,Q505222,Democrat,Kind,Ron,James,Ron Kind,,,H6WI03099,,kg:/m/024ty6,400218,29769,319
