year,stage,special,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_opensecrets,candidate_wikidata,candidate_party,candidate_last,candidate_first,candidate_middle,candidate_full,candidate_suffix,candidate_nickname,candidate_fec,candidate_fec_name,candidate_google,candidate_govtrack,candidate_icpsr,candidate_maplight
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Shields Street. Aux. Gym 13-1,,,US House,0,TRUE,,total,7,,,,,,,,,,,,,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Shields Street. Aux. Gym 13-1,Liz Cheney,cheney,US House,0,FALSE,republican,total,736,N00035504,Q5362573,Republican,Cheney,Liz,,Liz Cheney,,,H6WY00159,,kg:/m/04slt0,412732,21710,2244
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Shields Street. Aux. Gym 13-1,Daniel Clyde Cummings,cummings,US House,0,FALSE,constitution,total,52,,,,,,,,,,H2WY00133,"CUMMINGS, DANIEL CLYDE",,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Shields Street. Aux. Gym 13-1,Ryan Greene,greene,US House,0,FALSE,democratic,total,861,,,,,,,,,,H6WY01074,"GREENE, RYAN",,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Shields Street. Aux. Gym 13-1,Lawrence Gerard Struempf,struempf,US House,0,FALSE,libertarian,total,133,,,,,,,,,,,,,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Albany County Fairgrounds 46-11,,,US House,0,TRUE,,total,5,,,,,,,,,,,,,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Albany County Fairgrounds 46-11,Liz Cheney,cheney,US House,0,FALSE,republican,total,1093,N00035504,Q5362573,Republican,Cheney,Liz,,Liz Cheney,,,H6WY00159,,kg:/m/04slt0,412732,21710,2244
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Albany County Fairgrounds 46-11,Daniel Clyde Cummings,cummings,US House,0,FALSE,constitution,total,52,,,,,,,,,,H2WY00133,"CUMMINGS, DANIEL CLYDE",,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Albany County Fairgrounds 46-11,Ryan Greene,greene,US House,0,FALSE,democratic,total,578,,,,,,,,,,H6WY01074,"GREENE, RYAN",,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Albany County Fairgrounds 46-11,Lawrence Gerard Struempf,struempf,US House,0,FALSE,libertarian,total,104,,,,,,,,,,,,,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Harmony School 46-12,,,US House,0,TRUE,,total,2,,,,,,,,,,,,,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Harmony School 46-12,Liz Cheney,cheney,US House,0,FALSE,republican,total,273,N00035504,Q5362573,Republican,Cheney,Liz,,Liz Cheney,,,H6WY00159,,kg:/m/04slt0,412732,21710,2244
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Harmony School 46-12,Daniel Clyde Cummings,cummings,US House,0,FALSE,constitution,total,15,,,,,,,,,,H2WY00133,"CUMMINGS, DANIEL CLYDE",,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Harmony School 46-12,Ryan Greene,greene,US House,0,FALSE,democratic,total,104,,,,,,,,,,H6WY01074,"GREENE, RYAN",,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Harmony School 46-12,Lawrence Gerard Struempf,struempf,US House,0,FALSE,libertarian,total,15,,,,,,,,,,,,,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Centennial School 46-13,,,US House,0,TRUE,,total,0,,,,,,,,,,,,,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Centennial School 46-13,Liz Cheney,cheney,US House,0,FALSE,republican,total,163,N00035504,Q5362573,Republican,Cheney,Liz,,Liz Cheney,,,H6WY00159,,kg:/m/04slt0,412732,21710,2244
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Centennial School 46-13,Daniel Clyde Cummings,cummings,US House,0,FALSE,constitution,total,4,,,,,,,,,,H2WY00133,"CUMMINGS, DANIEL CLYDE",,,,
2016,gen,FALSE,Wyoming,WY,56,68,Albany County,56001,01605066,41.665514,-105.721883,Albany,Centennial School 46-13,Ryan Greene,greene,US House,0,FALSE,democratic,total,105,,,,,,,,,,H6WY01074,"GREENE, RYAN",,,,
